e-flyer;ISBN;last name of 1st author;authors without affiliation;title;subtitle;series;edition;copyright year;pages arabic;cover;medium type;bibliography;MRW;no. of volumes;price status EUR net;EUR net;EUR gross (D);EUR gross (A);GBP net;CHF gross;pre-pub EUR net;pre-pub EUR gross (D);pre-pub EUR gross (A);pre-pub EUR valid until;pre-pub GBP net;pre-pub CHF gross;language;main subject;subject 1;bic code 1;subject 2;bic code 2;bookstore location;SN No.;SN status;product category;publisher;availability status;release date;distribution rights;table of contents short;information text;USP international;EAN Code;publication class
X;978-0-387-84857-0;Hastie;"Trevor Hastie; Robert Tibshirani; Jerome Friedman";The Elements of Statistical Learning;Data Mining, Inference, and Prediction, Second Edition;Springer Series in Statistics  ;2nd ed.;2009;746;Hardcover;Book;XXII, 746 p.;;;final;69,95;74,85;76,95;64,99;116,5;;;;;;;English;Statistics;S11001 Statistical Theory and Methods;PBT;I18030 Data Mining and Knowledge Discovery;UXAM;Statistics;Jan 09;Title advertised in News;Graduate/Advanced undergraduate textbook;Springer-Verlag New York;Available;03.03.2009;;;"<P>During the past decade there has been an explosion in computation and information technology. With it have come vast amounts of data in a variety of fields such as medicine, biology, finance, and marketing. The challenge of understanding these data has led to the development of new tools in the field of statistics, and spawned new areas such as data mining, machine learning, and bioinformatics. Many of these tools have common underpinnings but are often expressed with different terminology. This book describes the important ideas in these areas in a common conceptual framework. While the approach is statistical, the emphasis is on concepts rather than mathematics. Many examples are given, with a liberal use of color graphics. It is a valuable resource for statisticians and anyone interested in data mining in science or industry. The book's coverage is broad, from supervised learning (prediction) to unsupervised learning. The many topics include neural networks, support vector machines, classification trees and boosting---the first comprehensive treatment of this topic in any book.</P> <P>This major new edition features many topics not covered in the original, including graphical models, random forests, ensemble methods, least angle regression &amp; path algorithms for the lasso, non-negative matrix factorization, and spectral clustering. There is also a chapter on methods for ``wide'' data (p bigger than n), including multiple testing and false discovery rates.</P>";<P>The many topics include neural networks, support vector machines, classification trees and boosting - the first comprehensive treatment of this topic in any book</P> <P>Includes over 200 pages of four-color graphics</P>;9<HTLDTH=ieifha>;Science
X;978-0-387-09497-7;Jenkins;Jamey L. Jenkins;The Sun and How to Observe It;;Astronomers' Observing Guides  ;;2009;210;Softcover;Book;XIV, 210 p. 72 illus., 8 in color.;;;final;34,95;37,4;38,45;21,99;58,5;;;;;;;English;Physics;P22014 Astronomy ;PG;Q11009 Popular Science in Astronomy;PGB;Popular Science, Popular Science / Astronomy;Sep 08;Title advertised in News;Popular science;Springer-Verlag New York;Available;03.03.2009;;<P>Acknowledgements.- Introduction.- The Sun, Yesterday and Today.- Some Basics of Solar Observing.- Observing the White Light Sun.- White Light Solar Features.- Recording White Light Observations.- Observing the Monochromatic Sun.- Monochromatic Solar Features.- Solar Photography.- Where Do You Go from Here?- Appendix A: Resources.- Appendix B: Glossary of Solar-Related Terms.- Appendix C: Daily Solar Ephemeris, July 2008-January 2012.</P>;<P>In Part 1, the book describes the very latest thinking on solar physics in (mostly non-mathematical) detail, incorporating the latest results from research concerning the structure and behaviour of the Sun. There is particular emphasis on the surface features visible from the Earth, and how these are the result of the extraordinary processes that are taking place within the Sun.</P> <P>In Part 2, the book details the techniques for observing and imaging the Sun with commercially-available equipment. The many recent advances in optical equipment now allow amateur astronomers to observe phenomena that until recently could only be seen with the extremely expensive equipment available at universities and research observatories – notably H-alpha and Calcium-K telescopes.</P> <P>This is a completely up-to-date solar observing book, while providing the science background necessary for an understanding of the observations with the latest equipment. It also features the most complete solar observing and imaging guide available.</P>;<P>Contains the latest, up-to-date, information on techniques that amateur astronomers can use to observe the Sun</P> <P>Explains the very latest thinking on solar physics in mostly many non-mathematical terms</P> <P>Includes details on the newest Hydrogen-alpha and Calcium-K line telescopes now available at affordable prices</P>;9<HTLDTH=ajejhh>;Trade
X;978-0-387-74044-7;Kaplan;Robert M.  Kaplan;Disease, Diagnoses, and Dollars;Facing the Ever-Expanding Market for Medical Care;;;2009;190;Hardcover;Book;XVIII, 190 p. 81 illus.;;;final;19,95;21,35;21,95;15,99;33,5;;;;;;;English;Popular Science;Q14008 Popular Science in Medicine and Health;VFD;H00007 Medicine/Public Health, general ;MB;Popular Science, Popular Science / Medicine and Health;Sep 08;Title advertised in News;Popular science;Springer-Verlag New York;Available;03.03.2009;;<P>Chapter 1: Disease, Drugs and Money.- Chapter 2: The Disease-Reservoir Hypothesis.- Chapter 3: Mental Models of Health and Healthcare.- Chapter 4: What is Disease and When does it Begin?.- Chapter 5: Screening for Cancer.- Chapter 6: Deciding When Blood Pressure Is Too High.- Chapter 7: The Cholesterol Cutoff.- Chapter 8: Diabetes, Obesity, and the Metabolic Syndrome.- Chapter 9: Costs-Effectiveness and Opportunity Costs.- Chapter 10: Shared Medical Decision-Making.- Chapter 11: Putting the Pieces Together.</P>;<P>Disease, Diagnoses, and Dollars is about the costs of health care and their impact on health. The U.S. health care system is the largest sector in the biggest economy, and the US spends significantly more per capita on health care than any other country, yet it ranks last among comparison nations on the major health indicators. Within the U.S., there is evidence that regions that spend more do not have better outcomes, and some evidence suggests that quality of care is lower in the regions that spend more, not less, on health care.</P> <P>Robert Kaplan takes the controversial position that mass markets have been created for services that may offer little or no benefit to patients. Many of these markets are for preventive medicine, making healthy people a market for expensive pharmaceutical products and tests. These include cancer screening tests and medications to control blood pressure, cholesterol, and glucose. Kaplan forcefully argues that the overuse of medications and tests runs up the costs of health care. As more employers drop health insurance for their employees when costs accelerate, the expanded use of ineffective preventive medicine may have the unintended consequence of increasing the number of uninsured patients, potentially damaging the health of others in the community.</P> <P>The concluding chapters of Disease, Diagnoses, and Dollars offer suggestions for policy makers and for patients. Methods for systematically evaluating the cost-effectiveness of new guidelines are discussed. The final chapter provides practical suggestions to enable patients to share in decisions about treatments or tests that can have uncertain benefits.</P>;<P>Controversial as it questions the foundations of preventive medicine</P> <P>Timely criticism of the health care industry and the costs of health care</P> <P>Challenges established definitions of disease, specifically in cancer, cholesterol, diabetes, obesity</P>;9<HTLDTH=heaeeh>;Trade
;978-0-387-78688-9;Koshida;Nobuyoshi Koshida (Ed.);Device Applications of Silicon Nanocrystals and Nanostructures;;Nanostructure Science and Technology  ;;2009;348;Hardcover;Book;XII, 348 p. 247 illus., 126 in color.;;;final;92,95;99,46;102,25;84,5;154,5;;;;;;;English;Materials Science;Z14000 Nanotechnology;TBN;Z12000 Optical and Electronic Materials;TJFD;Materials Science, Materials Science / Chemistry;Nov 08;Title advertised in News;Monograph;Springer-Verlag US;Available;03.03.2009;;<P><EM>I. Photonic Devices</EM>. Si-rich Dielectrics for Active Photonic Devices, L. Kimerling. Nanocrystalline Si EL Devices, B. Gelloz. Surface and Superlattice, R. Boukherroub. Optical Gain and Lasing in Low Dimensional Silicon: the quest for an injection laser, L. Pavesi.- <EM>II. Electronic Devices</EM>. Silicon Single-Electron Devices, Y. Takahashi. Room Temperature Silicon Spin Based Transitor, M. Cahay. Electron Transport in Nanocrystalline Silicon, H. Mizuta. Silicon Nanocrystal Nonvolatile Memories, B. White. Nanocystalline Silicon Ballistic Electron Emitter, T. Komoda.- <EM>III. Functional Devices</EM>. Porous Silicon Optical Label-free Biosensors, P. Fauchet. Ultrasonic Emission from Nanocrystalline Silicon, H. Shinoda.</P>;<P>Recent developments in the technology of silicon nanocrystals and silicon nanostructures, where quantum-size effects are important, are systematically described including examples of device applications. Due to the strong quantum confinement effect, the material properties are freed from the usual indirect- or direct-bandgap regime, and the optical, electrical, thermal, and chemical properties of these nanocrystalline and nanostructured semiconductors are drastically changed from those of bulk silicon. In addition to efficient visible luminescence, various other useful material functions are induced in nanocrystalline silicon and periodic silicon nanostructures. Some novel devices and applications, in fields such as photonics (electroluminescence diode, microcavity, and waveguide), electronics (single-electron device, spin transistor, nonvolatile memory, and ballistic electron emitter), acoustics, and biology, have been developed by the use of these quantum-induced functions in ways different from the conventional scaling principle for ULSI.</P>;<P>Offers the first comprehensive treatment of recent advances in quantum-sized silicon device technology</P> <P>Presents systematic and vivid descriptions from a technological viewpoint, providing a realistic perspective on forthcoming silicon device concepts in the post-scaling era</P> <P>Shows how silicon nanocrystal technology is fundamental to the future of silicon electronics, optoelectronics, and photonics</P> <P>Reviews optimal strategies for developing the next generation of devices for microelectronics, photonics, acoustics, and biology</P>;9<HTLDTH=higiij>;Professional
;978-3-540-89106-2;Kreußler;"Bernd Kreußler; Gerhard Pfister";Mathematik für Informatiker;Algebra, Analysis, Diskrete Strukturen;eXamen.press  ;;2009;457;Brosch.;Buch;XII, 457 S.;;;final;23,32;24,95;25,65;18,99;39;;;;;;;Deutsch;Mathematik;M11094 Linear and Multilinear Algebras, Matrix Theory;PBFP;M12007 Analysis;PBKB;Informatik;Feb 09;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;03.03.2009;;<P>Teil I Algebra. Zahlen.- Lineare Algebra.- Teil II Analysis. Reelle Zahlen und Folgen.- Funktionen.- Teil III Diskrete Strukturen. Diskrete Mathematik.- Grundlagen der Mathematik.- Anhang. Lösungen.- Literaturverzeichnis.- Personenregister.- Symbolverzeichnis.- Index.</P>;<P>Ein idealer Einstieg für Studierende der Informatik in die Mathematik, da jedes Kapitel mit konkreten, dem Leser vertrauten Begriffen oder Situationen beginnt. Davon ausgehend wird schrittweise abstrahiert bis hin zu den gebräuchlichen abstrakten Begriffen der modernen Mathematik, in jedem Kapitel viele interessante Situationen des Alltagslebens beschrieben werden, in denen die zuvor eingeführten abstrakten Begriffe und die bewiesenen Ergebnisse zum Einsatz kommen. Dabei wird auf Anwendungen eingegangen, die einen engen Bezug zur Informatik besitzen: Routenplaner, Google-Suche, Kryptographie, Codierungstheorie, Datenkompressionen, Hashtabellen und Sudoku. Die drei Teile der Buches: Algebra, Analysis und Diskrete Strukturen, die weitgehend voneinander unabhängig sind, sind so angelegt, dass sie im Wesentlichen einzeln verstanden werden können. Durch die Lösungen aller Übungsaufgaben ist das vorliegende Buch auch sehr gut zum Selbststudium geeignet.</P>;;9<HTOFPA=ijbagc>;Lehrbuch
;978-3-540-78958-1;Kriha;"Walter Kriha; Roland Schmitz";Sichere Systeme;Konzepte, Architekturen und Frameworks;Xpert.press  ;;2009;639;Geb.;Buch;XIII, 639 S. 100 Abb.;;;final;46,68;49,95;51,35;35;77,5;;;;;;;Deutsch;Computer Science;I14029 Software Engineering ;UPD;I13022 Computer Communication Networks ;UVZ;Computerbuch;Jul 08;Title advertised in News;Fachbuch;Springer-Verlag Berlin Heidelberg;Available;03.03.2009;;;<P>Wie sichert man Server-Applikationen für das Internet ab? Heute entsteht Software meist auf der Basis von Frameworks, die bereits Sicherheitstechniken enthalten und deren Verständnis essentiell für den Bau sicherer Systeme ist. Dies betrifft insbesondere Applikationsentwickler und Systemingenieure, die Frameworks verwenden, um Applikationen mit der jeweiligen Firmeninfrastruktur zu verbinden. Somit entstehen diffizile Abhängigkeiten zwischen Infrastruktur und Applikationen. Ein Schwerpunkt dieses Bandes ist die Absicherung von Enterprise-Software durch existierende Frameworks wie z.B. J2EE. Darüber hinaus werden auch grundsätzlichere Fragen der Zuverlässigkeit und Berechenbarkeit von Software behandelt, etwa Safety, sicheres Funktionieren von Software, und Usability.</P> <P>Die Autoren haben in ihrem Buch „Internet-Security aus Software-Sicht' die oft eingeschränkte Wahrnehmung von Sicherheitsproblemen aufgezeigt und dort anhand von Fallbeispielen und Sicherheitsanalysen Lösungen entwickelt.</P>;;9<HTOFPA=hijfib>;Praktiker
X;978-0-387-49322-0;Leite;Edson Roberto Leite (Ed.);Nanostructured Materials for Electrochemical Energy Production and Storage;;Nanostructure Science and Technology  ;;2009;250;Hardcover;Book;X, 250 p.;;;final;86,95;93,04;95,65;79,5;144,5;;;;;;;English;Materials Science;Z14000 Nanotechnology;TBN;C21010 Electrochemistry;PNRH;Materials Science, Materials Science / Chemistry;Sep 08;Title advertised in News;Contributed volume;Springer-Verlag US;Available;03.03.2009;;<P>Assembly and Properties of Nanoparticles (Caue Ribeiro and Edson R. Leite).- Electrochemistry, Nanomaterials, and Nanostructures (Paulo Roberto Bueno and Claude Gabrielli).- Nanotechnology for fuel cells (Angelika Heinzel, Uwe König).- Vanadium Oxide Aerogels: Enhanced Energy Storage in Nanostructured Materials (Winny Dong, Bruce Dunn).- Nanostructured Composites: Structure, Properties, and Applications in Electrochemistry (Joop Schoonman Sergey Zavyalov, Alla Pivkina).- Recent Applications of Nanoscale Materials: Solar Cells (Michael Grätzel).-</P>;<P>The key problem facing new energy conversion and storage technologies remains device efficiency. Designs based on nanostructured materials can yield improved performance in devices employing electrochemical reactions and heterogeneous catalysis, such as fuel and solar cells, batteries, etc. Nanoscale structures dramatically alter the surface reaction rates and electrical transport throughout the material, causing a dramatic improvement in energy storage, conversion, and generation. This book describes properties of nanostructured materials that can be the basis of improved performance in a wide range of alternative energy devices. Fundamental concepts of nanostructured materials such as nanocrystals synthesis and properties, thermodynamics and defect chemistry, and interfacial and physical electrochemistry are presented as are the impact and application of nanoscale materials in specific alternative energy devices. These materials and devices promise not only the development of a wide range of new technologies, but also the potential for a more sustainable energy future. <EM>Nanostructured Materials for Electrochemical Energy Production and Storage</EM> is an authoritative and essential reference from world-renowned research groups for scientists and engineers in the fields of materials science and electrochemistry. </P>;<P>Explores the intersection of two major research fields, nanostructured materials and alternative energy devices </P> <P>Presents fundamental information on nanostructured materials, including thermodynamics, defect chemistry, electrochemical behavior, and electrical properties</P> <P>Offers integrated coverage from batteries and fuel cells to hydrogen generation and storage</P> <P>Includes chapters by world leaders in inorganic electrochemical materials</P>;9<HTLDTH=ejdcca>;Professional
X;978-0-387-84898-3;Linares;"Felipe Linares; Gustavo Ponce";Introduction to Nonlinear Dispersive Equations;;Universitext  ;;2009;256;Softcover;Book;XI, 256 p.;;;final;34,95;37,4;38,45;27,99;58,5;;;;;;;English;Mathematics;M12155 Partial Differential Equations;PBKJ;;;Mathematics;Nov 08;Title advertised in News;Graduate/Advanced undergraduate textbook;Springer-Verlag New York;Available;03.03.2009;;<P>Preface.- The Fourier Transform.- Interpolation of Operators: A Multiplier Theorem.- Sobolev Spaces and Pseudo-differential Operators.- The Linear Schrödinger Equation.- The Nonlinear Schrödinger Equation, Local theory.- Asymptotic Behavior for NLS Equation.- Korteweg-de Vries Equation.- Asymptotic Behavior of Solutions for the k-gKdV Equations.- Other Nonlinear Dispersive Models.- General Quasilinear Schrödinger Equation.- Appendix.- References.- Index.</P>;<P>The aim of this textbook is to introduce the theory of nonlinear dispersive equations to graduate students in a constructive way. The first three chapters are dedicated to preliminary material, such as Fourier transform, interpolation theory and Sobolev spaces. The authors then proceed to use the linear Schrodinger equation to describe properties enjoyed by general dispersive equations. This information is then used to treat local and global well-posedness for the semi-linear Schrodinger equations. The end of each chapter contains recent developments and open problems, as well as exercises.</P>;<P>Includes a nice selection of topics</P> <P>Contains a large selection of non-standard exercises</P> <P>Accessible presentation of key tools in harmonic and Fourier analysis</P>;9<HTLDTH=ieijid>;Students
;978-0-387-92776-3;Marple;"Basil R. Marple; Chang-Jiu Li; Margaret M. Hyland; Rogerio S. Lima; Yuk-Chiu Lau; Ghislain Montavon (Eds.)";Thermal Spray 2008;Crossing Borders;;;2009;392;Hardcover;Book;392 p.;;;final;154,95;165,8;170,45;141;257,5;;;;;;;English;Materials Science;Z19000 Surfaces and Interfaces, Thin Films;TDCK;Z15000 Tribology, Corrosion and Coatings;TGBF;Materials Science;Mai 09;Title ready for News;Proceedings;Springer-Verlag US;Available;03.03.2009;;;Proceedings of the 2008 International Thermal Spray Conference held in Maastricht, the Netherlands, June 2-4, 2008. This is a special issue of the Journal of Thermal Spray Technology.;;9<HTLDTH=jchhgd>;Science
;978-3-540-68223-3;Osterhage;Wolfgang Osterhage;Abnahme komplexer Software-Systeme;Das Praxishandbuch;Xpert.press  ;;2009;148;Geb.;Buch;IX, 148 S. 65 Abb.;;;final;37,34;39,95;41,07;29,99;62;;;;;;;Deutsch;Computer Science;I14029 Software Engineering ;UPD;I13049 System Performance and Evaluation ;UAB;Computerbuch;Okt 08;Title advertised in News;Fachbuch;Springer-Verlag Berlin Heidelberg;Available;03.03.2009;;;<P>Das Praxisbuch dient als Grundlage für die Abnahme von komplexen IT-Software-Systemen. Die Methoden, die hier vorgestellt werden, gelten sowohl für Standard- als auch für angepasste oder neu entwickelte Software und berücksichtigen ITIL und andere IT-Prozess-Standards. Sie haben sich in der Praxis vielfach bewährt.</P> <P>Sie haben sich in der Praxis vielfach bewährt. Beschrieben werden zunächst die organisatorischen Voraussetzungen, die für eine erfolgreiche Abnahme erforderlich sind, sodann alle vorbereitenden Arbeiten, die getätigt werden müssen. Betrachtet werden auch organisatorische Schnittstellenbereiche, die bei der Ermittlung von fachlichen und technischen Anforderungen betroffen sind. Der Autor stellt das Abnahmegeschehen im Detail vor. Die dazu gehörigen Werkzeuge zur Durchführung und für den Abschluss werden im Einzelnen erläutert.</P>;;9<HTOFPA=giccdd>;Praktiker
X;978-1-84800-174-9;Stapelberg;Rudolph Frederick Stapelberg;Handbook of Reliability, Availability, Maintainability and Safety in Engineering Design;;;;2009;827;Hardcover;Book;XXIV, 827 p. 281 illus.;;;final;194,95;208,6;214,45;149,5;324;;;;;;;English;Engineering;T22032 Quality Control, Reliability, Safety and Risk;TGPQ;T17020 Engineering Design;TBD;Engineering;Mrz 08;Title advertised in News;Handbook;Springer-Verlag London;Available;03.03.2009;;<P>Design integrity methodology.- Design integrity and automation.- Reliability and performance in engineering design.- Availability and maintainability in engineering design.- Safety and risk in engineering design.</P>;<P>The “Handbook of Reliability, Availability, Maintainability and Safety in Engineering Design” studies the combination of various methods of designing for reliability, availability, maintainability and safety, as well as the latest techniques in probability and possibility modeling, mathematical algorithmic modeling, evolutionary algorithmic modeling, symbolic logic modeling, artificial intelligence modeling, and object-oriented computer modeling. The book encompasses both a depth of research into engineering design methods and techniques, and a breadth of research into the concept of integrity in engineering design. These topics add significant value to the theoretical expertise and practical experience of process, chemical, civil, mechanical, electrical, and electronic engineers, by considering process engineering design from the point of view of “what should be achieved” to meet criteria for designing for reliability, availability, maintainability and safety.</P>;<P>Studies combination of various methods of designing for reliability, maintainability and safety</P> <P>Also studies latest techniques in probability and possibility modelling, in a logically structured approach to determining the integrity of engineering design</P>;9<HTMIPI=aabhej>;Science
;978-0-387-77063-5;Sternad;Dagmar Sternad (Ed.);Progress in Motor Control;A Multidisciplinary Perspective;Advances in Experimental Medicine and Biology  Vol. 629;;2009;734;Hardcover;Book;XVIII, 734 p. 147 illus., 17 in color.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Biomedicine;B18006 Neurosciences ;PSAN;H36001 Neurology ;MJN;Biomedicine;Jan 08;Title advertised in News;Contributed volume;Springer-Verlag US;Available;03.03.2009;;<P>The Nature of Control.- The Hand as a Complex System.- Forty Years of Equilibrium-Point Hypothesis.- Bridging of Models for Complex Movements in 3D.- What Is Encoded in the Brain?- Perception and Action.- Motor Learning.</P>;<P>The research area of motor control has become an increasingly multidisciplinary undertaking. Understanding the acquisition and performance of voluntary movements in biological and artificial systems requires the integration of knowledge from a range of disciplines such as neurophysiology, kinesiology, neuroscience, robotics, psychology, nonlinear dynamics, biomechanics and biology. This book brings together researchers from this wide range of disciplines to discuss the control and coordination of processes involved in perceptually guided actions.</P>;<P>Provides an in-depth discussion of a number of fundamental and often opposing ideas about the theoretical basis of motor control</P> <P>No other book provides such a multidisciplinary approach to the problem of motor control</P>;9<HTLDTH=hhagdf>;Science
;978-0-387-77711-5;Varin;"Robert A. Varin; Tomasz Czujko; Zbigniew S. Wronski";Nanomaterials for Solid State Hydrogen Storage;;Fuel Cells and Hydrogen Energy  ;;2009;338;Hardcover;Book;X, 338 p.;;;final;86,95;93,04;95,65;75,5;144,5;;;;;;;English;Engineering;T25023 Renewable and Green Energy;KNBT;Z14000 Nanotechnology;TBN;Engineering, Electric Engineering;Jun 08;Title advertised in News;Monograph;Springer-Verlag US;Available;03.03.2009;;<P><STRONG>INTRODUCTION</STRONG>. Motivation: The Hydrogen Economy. Brief, synchronic history of development of hydrides and nanomaterials. Nanoprocessing in solid-state in high energy ball mills. Important hydride properties and experimental techniques.- <STRONG>SIMPLE METAL AND INTERMETALLIC HYDRIDES</STRONG>. Mg/MgH<SUB>2</SUB>. Mg/MgH<SUB>2</SUB> with catalytic additives. Other metal hydrides containing Mg. AlH<SUB>3</SUB>. Other metal and intermetallic-based hydrides-new developments.- <STRONG>COMPLEX HYDRIDES</STRONG>. Ternary transition metal complex hydrides. Alanates. Amides. Metal borohydrides. Destabilization of high desorption temperature hydrides by (nano)compositing.- <STRONG>CARBONS AND NANOCARBONS</STRONG>. Diamond and nanodiamonds. Graphene, ordered graphite and nanographites. Disordered and active carbons. Highly-ordered fullerenes, carbon nanotubes, and other nanoshapes.</P>;<P>Over the past decade, important advances have been made in the development of nanostructured materials for solid state hydrogen storage used to supply hydrogen to fuel cells in a clean, inexpensive, safe and efficient manner. <STRONG><EM>Nanomaterials for Solid State Hydrogen Storage</EM></STRONG> focuses on hydrogen storage materials having high volumetric and gravimetric hydrogen capacities, and thus having the highest potential of being applied in the automotive sector.<BR></P> <P>Written by leading experts in the field, <STRONG><EM>Nanomaterials for Solid State Hydrogen Storage</EM></STRONG> provides a thorough history of hydrides and nanomaterials, followed by a discussion of existing fabrication methods. The authors’ own research results in the behavior of various hydrogen storage materials are also presented. Covering fundamentals, extensive research results and recent advances in nanomaterials for solid state hydrogen storage, this book serves as a comprehensive reference.</P>;<P>Reviews a huge mass of research results from leading laboratories in the world</P> <P>Relates in a <U>quantitative</U> way the microstructure of nanomaterials with their experimentally observed hydrogen storage properties</P> <P>Provides an overview of existing fabrication methods of nanomaterials for solid state hydrogen storage</P> <P>Compiles the various physical/chemical properties of hydrides which are now randomly scattered in the literature</P>;9<HTLDTH=hhhbbf>;Science
X;978-1-84628-946-0;Vauthey;"Jean-Nicolas Vauthey; Paulo M.G. Hoff; Riccardo A. Audisio; Graeme J. Poston (Eds.)";Liver Metastases;;;;2009;188;Hardcover;Book;XII, 188 p. 54 illus., 13 in color.;;;final;119,95;128,35;131,95;98;199,5;;;;;;;English;Medicine & Public Health;H59001 Surgery ;MN;H43008 Oncology ;MJCL;Medicine, General Surgery;Aug 08;Title advertised in News;Reference work;Springer-Verlag London;Available;03.03.2009;;<P>Biology of liver metastases.- Imaging of liver metastases (US, CT, MRI, PET, etc).- Surgery for colorectal liver metastases.- Ablation therapies for colorectal liver metastases (cryo, RFA, microwave).- Chemotherapy for colorectal liver metastases (systemic, regional).- Biological therapies for colorectal liver metastases (targeted antibodies, gene therapy).- Multi-modality strategies for colorectal liver metastases.- Neuroendocrine metastases (carcinoid, pancreatic).- GIST metastases.- Liver metastases from other primary sites.</P>;"<P>This book overviews our current understanding of the biology of liver metastases, and reviews current methods of detection and diagnosis. Thereafter, the chapters offer objective and systematic reviews of each of the current major treatment modalities: surgical resection; destructive therapies; chemotherapy (systemic and regional); whether there is a role for radiotherapy; biological therapies (including hormone treatment antibodies and gene therapy); and lastly the decision making strategies that must be employed for successful multidisciplinary management. The book concludes with an overview of the health economics issues that must be addressed by all who practice in the field of treatment of liver metastases.</P> <P></P> <P>The book will be invaluable for surgeons in general surgery, hepatobiliary surgery, upper GI surgery, colorectal surgery, medical and clinical oncologists with an interest in liver tumours, and radiologists with an interest in liver disease.</P>";<P>State-of-the-art review of each aspect of treatment </P> <P>Contains chapter summaries with key points and treatment algorithms allowing rapid assimilation of major developments </P> <P>Clear, concise illustrations and figures assisting the reader in quickly assessing impact of each new and/or integrated treatment modality</P> <P>Accompanied by CD-ROM with all the figures in read-only PowerPoint format </P>;9<HTMIPG=cijega>;Professional
;978-3-8274-2119-7;Baker;Joanne Baker;50 Schlüsselideen Physik;;;;2009;208;Geb.;Buch;208 S. 150 Abb.;;;final;23,32;24,95;25,65;18,99;39;;;;;;;Deutsch;Popular Science;Q00007 Popular Science, general;PDZ;P00002 Physics, general;PH;Popular Science;Jan 09;Title advertised in News;Sachbuch;Spektrum Akademischer Verlag;Available;04.03.2009;;;"<P>In diesem Band der '50 Schlüsselideen'-Reihe präsentiert Joanne Baker für ein breites Publikum die grundlegenden Konzepte der Physik. Sie führt ihre Leser in 50 Stationen durch die historischen Meilensteine in der Entwicklung der Disziplin, durch die bedeutsamen Theorien und die großen Fragen. Jedem Konzept sind zwei Doppelseiten gewidmet; zahlreiche informative Exkurse, einfache Grafiken und kurze Zeitleisten begleiten den Grundtext. Endlich wird Physik nachvollziehbar und verständlich. Lassen Sie sich zu einer spannenden Entdeckungsreise in den Mikro- und Makrokosmos einladen und gewinnen Sie Schritt für Schritt ein Gefühl für das Gedankengebäude der modernen Physik.</P>";;9<HTOINH=ecbbjh>;Sachbuch
;978-3-540-85153-0;Becker;"Jörg Becker; Christoph Mathas; Axel Winkelmann";Geschäftsprozessmanagement;;Informatik im Fokus  ;;2009;217;Brosch.;Buch;IX, 217 S. 49 Abb.;;;final;13,97;14,95;15,37;11,99;23,5;;;;;;;Deutsch;Computer Science;I14029 Software Engineering ;UPD;;;Informatik;Okt 08;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;04.03.2009;;<P>Grundlagen.- Die Seite der Systemtechnik.- Die Seite der Anwenderinteraktion.- Technologieübersicht.- Beispielprojekt.- Ausblick.</P>;<P>Geschäftsprozess-Management (BPM) erfährt insbesondere im Zuge der populärer werdenden Service-orientierten Architektur (SOA) eine stetige Aufwertung. Auch für die Abbildung der betriebswirtschaftlichen Vorgänge im Zuge von Reorganisationen und Compliance-Maßnahmen ist eine Formalbeschreibung der Geschäftsprozesse eine wichtige Voraussetzung.</P> <P>Dieses Buch macht in einer kompakten Darstellung mit den grundlegenden Prinzipien der Prozessmodellierung vertraut und zeigt, auf welche Weise sie sich in modernen IT-Systemen umsetzen lassen. Dabei wird von den Modellierungskonzepten eine Brücke zu den technischen Darstellungsformen, Standards (z.B. UML, BPMN, WS-BPEL, XPDL) und deren Implementierung geschlagen.</P> <P>Neben den Grundlagen zeigen praktische Beispiele, auf welche Weise Unternehmen die Mittel der prozessgesteuerten Ablaufsteuerung und modellgetriebenen Softwareentwicklung in ihren Projekten einsetzen können, und welche Tools hierfür zur Verfügung stehen. Ein Buch für Architekten, Entwickler und Projektleiter.</P>;;9<HTOFPA=ifbfda>;Lehrbuch
X;978-3-540-68832-7;Ben-Menahem;Ari Ben-Menahem;Historical Encyclopedia of Natural and Mathematical Sciences;;;;2009;;;E-reference work; eReference.;X;;final;2495;2969,05;2994;1879;4351,5;;;;;;;English;Mathematics;M00009 Mathematics, general;PB;L00004 Life Sciences, general ;PSA;General Science;Jul 08;Title advertised in News;Encyclop(a)edia;Springer-Verlag Berlin Heidelberg;Available;04.03.2009;;;<P>This Encyclopedia provides a saga of history of ideas, discovery and invention in the natural and mathematical sciences over 100 generations of great thinkers from Thales to Feyman. It blends the essential historical data (chronology, biographies, major background, political and economical events, etc.) together with science proper (principles, laws, experiments, observations, theories, equations, etc.). This encyclopedia tells the reader not only who did it and when it was done but also precisely what was done. In this treatise, I have drawn a map of science, technology and great ideas that is as accurate and complete as possible, yet sufficiently free from unessential details and sufficiently condensed as not to obstruct the general view.</P> <P>The work spans the history and evolution of science up to 2005, including all technological, theoretical, and experimental milestones in the fields of mathematics, physics, chemistry, biology, earth and space sciences, cosmology etc. Included are also the social sciences, philosophy and historical and environmental events which impacted human life on earth.</P>;<P>First comprehensive encyclopedia of Science which blends essential historical data together with science proper</P> <P>Spanning about 100 generations of great thinkers from Thales to Feynman</P> <P>Includes 2070 biographies of famous thinkers and scientists</P>;9<HTOFPA=giidch>;Science
